sequence step,technique,channel,time(sec),Ewe(V),Q-Q0(mAh),I(mA),cycle#,Ece (V)
1,CP,0,0.0,2.6092031002044678,3.1871597375165983e-12,0.0,0.0,-0.0003590924898162484
1,CP,0,3.9999998989515007e-05,2.7219269275665283,6.374319475033197e-12,0.0002868443971237866,0.0,-0.0007017027237452567
1,CP,0,0.00011999999696854502,2.7236971855163574,9.356692696872572e-12,0.0002105255987316923,0.0,-0.0007017027237452567
1,CP,0,0.00015999999595806003,2.725238800048828,9.999893467295252e-12,5.7888023263785726e-05,0.0,-0.001044312957674265
1,CP,0,0.00023999999393709004,2.72643780708313,1.2982266689134629e-11,0.0001342068145504527,0.0,-0.0007017027237452567
1,CP,0,0.00031999999191612005,2.7276368141174316,1.5964639910974004e-11,5.7888023263785726e-05,0.0,-0.0003590924898162484
1,CP,0,0.0005199999868636951,2.7290070056915283,2.0876614480346157e-11,5.7888023263785726e-05,0.0,-0.0007017027237452567
1,CP,0,0.0010399999737273902,2.7278079986572266,4.8741905573419016e-11,5.7888023263785726e-05,0.0,-0.0003590924898162484
1,CP,0,0.0011599999706959352,2.726780414581299,5.491143805090736e-11,0.0002868443971237866,0.0,-0.001044312957674265
1,CP,0,0.0012399999686749652,2.725067377090454,6.128576041714635e-11,0.0002868443971237866,0.0,-0.0007017027237452567
1,CP,0,0.0013199999666539952,2.7235257625579834,6.342014490728293e-11,5.7888023263785726e-05,0.0,-0.0007017027237452567
1,CP,0,0.0014399999636225402,2.7224981784820557,6.958968123971232e-11,5.7888023263785726e-05,0.0,-0.0003590924898162484
1,CP,0,0.0015199999616015702,2.721298933029175,7.25720486791401e-11,0.0001342068145504527,0.0,-0.0007017027237452567
1,CP,0,0.0015999999595806003,2.720271348953247,7.385845021998547e-11,5.7888023263785726e-05,0.0,0.0003261279780417681
1,CP,0,0.0017999999545281753,2.7177019119262695,8.809827867217734e-11,0.0002868443971237866,0.0,-0.0007017027237452567
1,CP,0,0.0018399999535176903,2.714790105819702,9.128543600035578e-11,0.0002868443971237866,0.0,-0.001044312957674265
1,CP,0,0.0018799999525072053,2.711021661758423,9.53205801327665e-11,0.0003631631670941715,0.0,-0.0003590924898162484
